"Size";"Taille""File";"Fichier"
"Lines processed";"Lignes traitées"
"Import file";"Importer le fichier"
"Campaign";"Campagne"
"CAMPAIGN";"CAMPAGNE"
"Header";"Entête"
"File";"Fichier"
"Max size for file %s.";"Taille maximale pour le fichier %s."
"authorized formats: %s";"formats autorisés: %s"
"Import leads";"Importer les clients"
"products";"produits"
"Products %s don't exist.";"Les produits %s n'existe pas."
"No format available";"Aucun format disponible"
"Import files history";"Historique fichiers importés"
"No file";"Aucun fichier"
"Name";"Nom"
"Init";"Vider les filtres"
"Filter";"Afficher"
"Imports formats";"Formats d'importation"
"New";"Nouveau"
"Cancel";"Annuler"
"New from file";"Nouveau à partir d'un fichier"
"New format";"Nouveau format"
"file";"Fichier"
"Read";"Lire"
"Settings";"Configurations"
"Format has been created.";"Le format a été créé"
"Save";"Enregistrer"
"View format";"Editer le format"
"Format name";"Nom du format"
"Format ""#0#"" will be deleted. Confirm ?";"Le format ""#0#"" va être supprimé. Confirmez vous ?"
"Lead import settings";"Configurations des importations client"
"Import formats";"Importer les formats"
"No format";"Aucun format"
"Form has some errors";"Le formulaire comporte des erreurs"
"field-date_created_at";"date création"
"field-time_created_at";"heure création"
"-- Not affected --";"-- Non affecté --"
"inserted";"insérer"
"saved";"enregister"
"tenant";"locataire"
"owner";"propriétaire"
"Tenant";"Locataire"
"Owner";"Propriétaire"
"OWNER";"PROPRIETAIRE"
"non_occupant_owner";"Propriétaire non occupant"
"Non_occupant_owner";"Propriétaire non occupant"
"electricity";"électricité"
"combustible";"combustible"
"Electricity";"Electricité"
"Combustible";"Combustible"
"Customers contacts";"Contacts clients"
"Firstname";"Prénom"
"FIRSTNAME";"PRENOM"
"Lastname";"Nom"
"LASTNAME";"NOM"
"Phone";"Téléphone";
"PHONE";"TELEPHONE";
"Address";"Adresse"
"ADDRESS";"ADRESSE"
"Number of people";"Nombre de personnes"
"NUMBER OF PEOPLE";"NOMBRE DE PERSONNES"
"Income";"Revenu"
"INCOME";"REVENU"
"Postcode";"Code postal"
"POSTCODE";"CODE POSTAL"
"Energy";"Energie"
"ENERGY";"ENERGIE"
"City";"Ville"
"CITY";"VILLE"
"Created at";"Créé à"
"CREATED AT";"CREE A"
"Site : ";"Site : "
"number of leads recovered ";"nombre des contactes récupérés "
"NEW";"NOUVEAU"
"NOT EXPORTED";"NON EXPORTE"
"EXPORTED";"EXPORTE"
"State";"Rapport"
"Records";"Enregistrements"
"return";"revenir"
"Return";"Revenir"
"Landing pages sites";"Liste des sites"
"new site";"nouveau site"
"New site";"Nouveau site"
"Host site";"Hôte de site"
"Host db";"Hôte de base de données"
"Name db";"Nom de la base de données"
"User db";"Utilisateur de la base de données"
"new lead";"nouveau contact"
"New lead";"Nouveau contact"
"Connection to server [%s] has been established.";"La connexion au serveur [%s] a été établie."
"Connection cannot be established.";"La connexion ne peut pas être établie."
"Site not loaded";"Site n'est pas chargé"
"Recovery success!";"Succès de la récupération"
"Error produced while recovering data";"Erreur produite lors de la récupération des données"
"Max leads to fetch";"Maximum des contacts à récupérer"
"Import options";"Options d'importation"
"edit";"modifier"
"ping";"test de connexion à distance"
"Ping";"Test de onnexion à distance"
"list forms";"liste des contacts"
"Recovery";"Récupération"
"List";"Liste"
"Disable";"Désactiver"
"View";"Modification"
"cancel";"annuler"
"save";"enregistrer"
"Max leads to fetch";"Max contacts à récupée"
"Liste leads";"Liste des contacts"
"download";"télécharger"
"View log";"Voir le journal"
"List leads all";"Liste de tous les contacts"
"COUNTRY";"PAYS"
"country";"pays"
"Country";"Pays"
"Lead has been created.";"Le contact a été créé."
"at";"à"
"No lines";"Aucune enregistrement"
"no lines";"aucune enregistrement"
"Transfer processed with success";"Transfert traité avec succès"
"Leads are not correctly loaded";"Les contacts ne sont pas correctement chargés"
"Meeting has been generated.";"Le rendez-vous a été générée."
"Transfer to appointment";"Transfert à rendez-vous"
"Process finished with success.";"Processus terminé avec succès."
"Zone";"Zone"
"Duplicate wpf";"Dupliquer en wordpress"
"Duplicated";"doublon"
"Phone status";"Etat du téléphone"
"WrongNumber";"Mauvais numéro"
"Remove leads";"Supprimer les contacts marketing"
